#{"t_start": 1742564416.323193, "env_id": "None"}
r,l,t
-0.036341,2268,3.584302
-0.059035,2268,6.718417
-0.0015,2268,10.008465
-0.019599,2268,13.131292
-0.032117,2268,16.446897
-0.006551,2268,19.487731
-0.003948,2268,22.755893
-0.010165,2268,25.794882
-0.003748,2268,28.784402
-0.010259,2268,32.167243
-0.019745,2268,35.24558
-0.032553,2268,38.575246
-0.001164,2268,41.604473
-0.025774,2268,44.781044
-0.03054,2268,48.436027
-0.061435,2268,51.313042
-0.013082,2268,54.648151
-0.024115,2268,57.518214
-0.007117,2268,60.789051
-0.012075,2268,63.781802
-0.084169,2268,67.394315
-0.025201,2268,70.440016
-0.062311,2268,73.531574
-0.044848,2268,76.835223
-0.017083,2268,79.826233
-0.002315,2268,83.026234
-0.054234,2268,85.981636
-0.007217,2268,89.578016
-0.010606,2268,92.50261
-0.006395,2268,95.54027
-0.008139,2268,98.871532
-0.025292,2268,101.769042
-0.012504,2268,105.365056
-0.005812,2268,108.567962
-0.026631,2268,111.868108
-0.054914,2268,114.873474
-0.008281,2268,117.950437
-0.011181,2268,121.154361
-0.015717,2268,124.130427
-0.015667,2268,127.496089
-0.01165,2268,130.445191
-0.01265,2268,133.742584
-0.027887,2268,136.714525
-0.008758,2268,139.735727
-0.031216,2268,143.112451
-0.000561,2268,146.12607
-0.00192,2268,149.430709
-0.010866,2268,152.452117
-0.018763,2268,155.780268
-0.004552,2268,158.672843
-0.012644,2268,161.695682
-0.01275,2268,165.096618
-0.006016,2268,168.12346
-0.092406,2268,171.649394
-0.025123,2268,174.776617
