#{"t_start": 1745407237.4238923, "env_id": "None"}
r,l,t
-0.7065801,251,0.462998
-0.62659484,251,0.864999
-0.5313289,251,1.331998
-0.71067345,251,1.686998
-0.6041103,251,2.567999
-0.567572,251,2.880001
-0.5813405,251,3.199998
-0.54944086,251,3.510998
-0.43857345,251,4.368998
-0.6632211,251,4.678998
-0.5418328,251,5.057998
-0.57662266,251,5.718
-0.49114746,251,6.758997
-0.49486586,251,7.051998
-0.65073353,251,7.325998
-0.4169222,251,7.637999
-0.54956543,251,8.587999
-0.5458601,251,9.009998
-0.64991426,251,9.283997
-0.41245723,251,9.541999
-0.4916272,251,10.600516
-0.42226353,251,10.932517
-0.41071507,251,11.311518
-0.69721764,251,11.674519
-0.4943787,251,12.726518
-0.5585419,251,13.195516
-0.44026735,251,13.623518
-0.4737969,251,14.118517
-0.44268307,251,15.128517
-0.45936787,251,15.494516
-0.35262227,251,15.823517
-0.4662982,251,16.184517
-0.36464906,251,17.460518
-0.466249,251,17.970518
-0.47065157,251,18.385517
-0.37414607,251,18.884517
-0.40755177,251,19.906517
-0.40092096,251,20.255518
-0.35014388,251,20.587517
-0.3867774,251,21.030518
-0.44237694,251,22.319517
-0.26973528,251,22.694516
-0.32455838,251,23.091516
-0.3383098,251,23.492517
-0.32327121,251,24.911518
-0.31386098,251,25.615518
-0.43750352,251,26.049518
-0.40422308,251,26.463517
-0.5370605,251,27.658516
-0.3796914,251,28.006517
-0.30413723,251,28.470518
-0.2675813,251,28.875518
-0.32528576,251,30.039517
-0.31104523,251,30.342516
-0.2723429,251,30.883516
-0.33008742,251,31.349517
-0.2369862,251,32.485517
-0.31538814,251,32.833517
-0.3115306,251,33.161517
-0.2949802,251,33.492518
-0.26159793,251,34.35152
-0.27050683,251,34.702517
-0.2367671,251,35.029517
-0.26985708,251,35.341517
-0.2158528,251,36.324517
-0.22316709,251,36.718518
-0.23137249,251,37.128516
-0.21974444,251,37.441518
-0.25861096,251,38.539517
-0.18973091,251,38.917516
-0.5482411,251,39.289519
-0.18143976,251,39.717517
-0.19360404,251,42.339517
-0.22940919,251,43.081518
-0.1815781,251,43.545517
-0.18126106,251,44.263517
-0.21215822,251,46.332517
-0.1948936,251,46.823517
-0.17567137,251,47.330518
-0.24570662,251,47.791517
-0.16980259,251,49.159517
-0.21924685,251,49.564517
-0.21727161,251,49.947515
-0.23396306,251,50.314517
-0.16137652,251,51.411827
-0.5751415,251,51.883091
-0.155535,251,52.26509
-0.19212146,251,52.62909
-0.37972897,251,53.594091
-0.15272653,251,53.94409
-0.18248938,251,54.29709
-0.14807878,251,54.652089
-0.1595925,251,55.58709
-0.13971029,251,55.947089
-0.17988959,251,56.304089
-0.17919971,251,56.72909
-0.2059696,251,57.77409
-0.12997325,251,58.13609
-0.12951107,251,58.49409
-0.13190053,251,58.853091
-0.12735896,251,59.795089
-0.12749967,251,60.15309
-0.15985887,251,60.506093
-0.13108058,251,60.86209
-0.17693236,251,61.79209
-0.12886095,251,62.144091
-0.14671727,251,62.492089
-0.11571617,251,62.84409
-0.13921,251,63.76309
-0.15409632,251,64.113089
-0.11668373,251,64.46409
-0.37461412,251,64.815089
-0.118659616,251,65.73609
-0.11288095,251,66.088089
-0.12901323,251,66.438091
-0.12515442,251,66.75009
-0.11887293,251,67.58609
-0.121609695,251,67.887089
-0.100619,251,68.190091
-0.11101671,251,68.493089
-0.121426284,251,69.32409
-0.10307321,251,69.625089
-0.11684528,251,69.928089
-0.09633746,251,70.232089
-0.09676296,251,71.052089
-0.12455698,251,71.350089
-0.100532986,251,71.651089
-0.07802259,251,71.94909
-0.12424073,251,72.78609
-0.080662124,251,73.088089
-0.08805848,251,73.38909
-0.07300247,251,73.683089
-0.16465169,251,74.515089
-0.0934182,251,74.807089
-0.09295091,251,75.10309
-0.10017845,251,75.400089
-0.119394824,251,76.245089
-0.0861518,251,76.60309
-0.08791623,251,76.900089
-0.083571315,251,77.195089
-0.0901866,251,78.05409
-0.0694354,251,78.350091
-0.06924692,251,78.646089
-0.08237725,251,78.941091
-0.07592396,251,79.810091
-0.08421853,251,80.108089
-0.09188655,251,80.407089
-0.08335817,251,80.703089
-0.066764355,251,81.569089
-0.08812424,251,81.861089
-0.08073154,251,82.162091
-0.0626446,251,82.456089
-0.08268329,251,83.328089
-0.081290394,251,83.625089
-0.087724335,251,83.919089
-0.07783675,251,84.22109
-0.06573201,251,85.079089
-0.065294184,251,85.37309
-0.076485224,251,85.672089
-0.061368663,251,85.966089
-0.055542924,251,86.86009
-0.051183365,251,87.154093
-0.067553684,251,87.453091
-0.06752499,251,87.745092
-0.067665495,251,88.606089
-0.055425312,251,88.89609
-0.09489827,251,89.194089
-0.055336367,251,89.488088
-0.059367307,251,90.33409
-0.05792897,251,90.635089
-0.052311566,251,90.930091
-0.047821496,251,91.22609
-0.059452705,251,92.068089
-0.058501247,251,92.359089
-0.052853797,251,92.65809
-0.05971745,251,92.95509
-0.044453513,251,93.79409
-0.05534639,251,94.089089
-0.04444151,251,94.386092
-0.047354985,251,94.682089
-0.050505318,251,95.53309
-0.054957736,251,95.825089
-0.052904807,251,96.123089
-0.0515531,251,96.421089
-0.061939955,251,97.261089
-0.041411243,251,97.555089
-0.0533299,251,97.85309
-0.05857216,251,98.154089
-0.050606105,251,98.999089
-0.04825839,251,99.291089
-0.05209532,251,99.587089
-0.045663964,251,99.883089
-0.04442545,251,100.729089
-0.046092764,251,101.023089
-0.043681696,251,101.318089
-0.05213,251,101.61109
-0.047480464,251,102.451089
-0.040058207,251,102.748089
-0.054851506,251,103.044092
-0.044999275,251,103.339089
-0.046595648,251,104.18109
-0.052291762,251,104.473089
-0.05034285,251,104.771089
-0.040293247,251,105.064088
-0.036178894,251,105.90809
-0.04219663,251,106.202091
-0.038101178,251,106.500092
-0.04531879,251,106.794089
-0.039562546,251,107.634091
-0.039368503,251,107.928089
-0.04515845,251,108.225091
-0.038902774,251,108.51809
-0.039671354,251,109.354089
-0.034104794,251,109.64909
-0.038708486,251,109.947088
-0.0342218,251,110.24409
-0.039625797,251,111.08609
-0.038804915,251,111.379089
-0.03606165,251,111.67509
-0.10424799,251,111.97109
-0.041904803,251,112.810092
-0.039626155,251,113.103089
-0.0440772,251,113.400089
-0.046923637,251,113.697089
-0.04188447,251,114.60609
-0.042065986,251,114.900091
-0.038787942,251,115.192089
-0.047012076,251,115.489089
-0.04687034,251,116.33009
-0.029089345,251,116.625091
-0.037962493,251,116.92209
-0.042083956,251,117.214089
-0.03647736,251,118.050089
-0.033961136,251,118.342089
-0.03788768,251,118.64009
-0.03153754,251,118.93409
-0.035292447,251,119.83409
-0.040507823,251,120.214091
-0.039896227,251,120.64609
-0.033778023,251,120.97509
-0.03466305,251,121.98609
-0.05932601,251,122.279093
-0.03462591,251,122.57909
-0.030120475,251,122.873089
-0.16202405,251,123.714089
-0.038842827,251,124.01109
-0.030355772,251,124.308089
-0.035689738,251,124.60309
-0.03463742,251,125.444091
-0.04111944,251,125.739089
-0.032286946,251,126.03509
-0.034651414,251,126.33209
-0.039018486,251,126.62609
-0.03568904,251,127.465089
-0.033022407,251,127.763089
-0.033469275,251,128.05909
-0.038251255,251,128.355091
-0.034870055,251,129.204091
-0.046281945,251,129.50509
-0.030900605,251,129.79909
-0.05186434,251,130.094089
-0.033541176,251,130.939089
-0.03886892,251,131.23409
-0.08966569,251,131.539089
-0.03529107,251,131.832089
-0.03326308,251,132.674089
-0.030317547,251,132.97209
-0.03607229,251,133.26709
-0.029751867,251,133.563089
-0.031335626,251,134.40309
-0.029549835,251,134.698089
-0.028368084,251,135.008089
-0.037218384,251,135.30109
-0.03423866,251,136.151089
-0.04001116,251,136.44909
-0.025811702,251,136.747089
-0.033502214,251,137.041089
-0.031549066,251,137.891089
-0.029975843,251,138.188089
-0.029756816,251,138.486089
-0.025992999,251,138.778089
-0.03463864,251,139.61609
-0.029372593,251,139.910089
-0.028297601,251,140.203089
-0.033533584,251,140.49909
-0.02626446,251,141.34409
-0.028431388,251,141.705089
-0.036105633,251,141.999089
-0.029265862,251,142.294089
-0.03015703,251,143.14409
-0.030222433,251,143.44109
-0.029116623,251,143.736089
-0.026598562,251,144.03109
-0.09797259,251,144.86809
-0.027223311,251,145.163089
-0.029049657,251,145.45509
-0.024889339,251,145.75109
-0.042850487,251,146.585091
-0.026143596,251,146.883091
-0.02478165,251,147.17609
-0.036425326,251,147.47009
-0.033298463,251,148.31309
-0.030403633,251,148.61009
-0.030432343,251,148.905089
-0.030188877,251,149.20009
-0.02949642,251,150.04009
-0.025582595,251,150.336089
-0.026533488,251,150.633089
-0.026270162,251,150.927089
-0.036422905,251,151.774089
-0.02606431,251,152.070091
-0.033943374,251,152.364091
-0.02781356,251,152.664089
-0.028677827,251,153.502088
-0.03124376,251,153.799091
-0.027544023,251,154.093089
-0.025485555,251,154.38809
-0.031421803,251,155.22809
-0.03700291,251,155.52509
-0.0261779,251,155.823089
-0.030839847,251,156.11609
-0.037206866,251,156.952091
-0.030669577,251,157.247089
-0.02778596,251,157.54309
-0.027291099,251,157.83709
-0.032444317,251,158.67809
-0.029857442,251,158.97509
-0.033572648,251,159.269089
-0.031361416,251,159.562089
-0.030435048,251,160.41309
-0.030544592,251,160.710089
-0.023400573,251,161.00709
-0.033453166,251,161.301089
-0.020434981,251,162.143089
-0.031840216,251,162.441091
-0.02491959,251,162.734089
-0.026310155,251,163.030091
-0.03070673,251,163.861089
-0.027120685,251,164.155089
-0.027914695,251,164.454091
-0.031380657,251,164.746089
-0.027943159,251,165.585089
-0.022054445,251,165.879089
-0.023831509,251,166.17609
-0.025570182,251,166.47009
-0.03056517,251,167.311088
-0.027452199,251,167.607091
-0.13032854,251,167.906089
-0.032286946,251,168.199089
-0.039622728,251,169.03809
-0.028051352,251,169.330089
-0.02341268,251,169.626089
-0.02927906,251,169.923089
-0.026938634,251,170.75509
-0.02907639,251,171.050089
-0.02464157,251,171.350088
-0.027886875,251,171.641089
-0.026957773,251,172.486089
-0.028547896,251,172.77809
-0.022217732,251,173.076089
-0.024565246,251,173.371091
-0.029173356,251,174.204088
-0.0302617,251,174.498091
-0.022832584,251,174.793089
-0.027297007,251,175.090089
-0.032411497,251,175.927088
-0.029891651,251,176.220088
-0.02957495,251,176.518088
-0.029400786,251,176.813093
-0.022159424,251,177.653089
-0.0266479,251,177.945089
-0.03236995,251,178.31009
-0.026090546,251,178.604089
-0.02416738,251,179.44709
-0.027235556,251,179.740089
-0.029831965,251,180.037089
-0.027797965,251,180.332091
-0.02629563,251,181.165088
-0.023591904,251,181.462089
-0.038138542,251,181.75809
-0.032056093,251,182.055089
-0.023146387,251,182.888088
-0.030996079,251,183.186089
-0.022568762,251,183.48309
-0.030255841,251,183.776089
-0.032024525,251,184.634089
-0.024467317,251,184.92909
-0.031674948,251,185.22709
-0.021939946,251,185.523089
-0.027276188,251,186.373089
-0.030315474,251,186.66809
-0.021372547,251,186.964089
-0.030564586,251,187.26109
-0.023272691,251,188.09409
-0.024947125,251,188.389088
-0.028827617,251,188.686088
-0.030171592,251,188.979089
-0.029360443,251,190.072089
-0.029717145,251,190.396089
-0.022015188,251,190.697089
-0.024099002,251,191.01609
