#{"t_start": 1744354122.456116, "env_id": "None"}
r,l,t
-1.7e-05,2268,6.845504
-2.4e-05,2268,9.613553
-1e-06,2268,12.564415
-1.1e-05,2268,15.335143
-1.7e-05,2268,18.337767
-4e-06,2268,21.021869
-3e-06,2268,24.030528
-4e-06,2268,26.864767
-3e-06,2268,29.477373
-6e-06,2268,32.341695
-1e-05,2268,35.364812
-1.8e-05,2268,38.432345
-1e-06,2268,41.234952
-1.1e-05,2268,44.299756
-9e-06,2268,47.036838
-2e-05,2268,49.64326
-7e-06,2268,52.492563
-1.3e-05,2268,55.133739
-3e-06,2268,58.04592
-6e-06,2268,60.704783
-4e-05,2268,63.606066
-1.6e-05,2268,66.22765
-2.3e-05,2268,68.80863
-1.5e-05,2268,71.67463
-7e-06,2268,74.344261
-0.0,2268,77.463361
-1.5e-05,2268,80.068915
-1e-06,2268,83.168787
-1e-06,2268,85.856571
-0.0,2268,88.414178
-1e-06,2268,91.300736
-9e-06,2268,93.932064
-2e-06,2268,96.79426
-1e-06,2268,99.480589
-1.1e-05,2268,102.351509
-1.3e-05,2268,104.937823
-4e-06,2268,107.626078
-2e-06,2268,110.449286
-5e-06,2268,113.033381
-4e-06,2268,115.891088
-5e-06,2268,118.504228
-4e-06,2268,121.415449
-1.2e-05,2268,124.145978
-4e-06,2268,126.739958
-1.2e-05,2268,129.688448
-0.0,2268,132.403775
-2e-06,2268,135.381994
-4e-06,2268,138.01419
-1e-05,2268,140.915581
-2e-06,2268,143.591972
-6e-06,2268,146.298069
-5e-06,2268,149.240975
-2e-06,2268,151.830701
-3.4e-05,2268,154.702118
-1.3e-05,2268,157.282849
-5e-06,2268,160.128885
-6e-06,2268,162.774499
-1.2e-05,2268,165.363503
-1.5e-05,2268,168.262084
-2.7e-05,2268,170.883072
-6e-06,2268,173.783644
-1.5e-05,2268,176.439426
-2e-06,2268,179.301878
-1e-06,2268,182.054508
-1.3e-05,2268,184.742473
-2.5e-05,2268,187.657205
-0.0,2268,190.355975
-1.6e-05,2268,193.290494
-2.3e-05,2268,195.924464
-0.0,2268,198.817509
-5e-06,2268,201.456451
-4e-06,2268,204.055123
-7e-06,2268,207.035331
-4e-06,2268,209.700204
-2e-06,2268,212.642453
-6e-06,2268,215.252638
-4.9e-05,2268,218.382238
-9e-06,2268,221.14486
-8e-06,2268,223.903103
-1.4e-05,2268,226.867775
-3.1e-05,2268,229.476738
-2e-05,2268,232.489011
-1e-06,2268,235.208731
-2e-05,2268,238.018103
-1e-05,2268,240.701795
-5e-06,2268,243.479944
-0.0,2268,246.450627
-1e-06,2268,249.261484
-4e-06,2268,252.138197
-1.6e-05,2268,254.928249
-2e-06,2268,258.158991
-6e-06,2268,260.734474
-5e-06,2268,263.459984
-1.5e-05,2268,266.465805
-0.0,2268,269.238797
-2.2e-05,2268,272.27697
-1.2e-05,2268,274.968539
-7e-06,2268,277.879559
-7e-06,2268,280.687874
-5.6e-05,2268,283.361259
-1.7e-05,2268,286.412936
-2.4e-05,2268,289.126348
-1e-06,2268,292.219644
-1.1e-05,2268,294.919375
-1.7e-05,2268,297.990691
-4e-06,2268,300.783048
-3e-06,2268,303.554473
-4e-06,2268,306.45235
-3e-06,2268,309.139772
-6e-06,2268,312.172009
-1e-05,2268,315.042389
-1.8e-05,2268,318.387712
-1e-06,2268,321.333023
-1.1e-05,2268,324.096527
-9e-06,2268,327.067458
-2e-05,2268,329.901577
-7e-06,2268,332.914472
-1.3e-05,2268,335.68715
-3e-06,2268,338.745577
-6e-06,2268,341.557165
-4e-05,2268,344.359311
-1.6e-05,2268,347.447191
-2.3e-05,2268,350.171373
-1.5e-05,2268,353.243263
-7e-06,2268,355.937961
-0.0,2268,359.05399
-1.5e-05,2268,361.864792
-1e-06,2268,364.640052
-1e-06,2268,367.733931
-0.0,2268,370.511442
-1e-06,2268,373.584162
-9e-06,2268,376.34869
-2e-06,2268,379.483936
-1e-06,2268,382.162982
-1.1e-05,2268,385.079546
-1.3e-05,2268,387.943235
-4e-06,2268,390.707623
-2e-06,2268,393.720816
-5e-06,2268,396.447617
-4e-06,2268,399.485555
-5e-06,2268,402.26197
-4e-06,2268,405.252368
-1.2e-05,2268,408.062855
-4e-06,2268,410.843675
-1.2e-05,2268,413.885002
-0.0,2268,416.590409
-2e-06,2268,419.681235
-4e-06,2268,422.401339
-1e-05,2268,425.449272
-2e-06,2268,428.095137
-6e-06,2268,430.856817
-5e-06,2268,433.895668
-2e-06,2268,436.608575
-3.4e-05,2268,439.793814
-1.3e-05,2268,442.536133
-5e-06,2268,445.63743
-6e-06,2268,448.454229
-1.2e-05,2268,451.246023
-1.5e-05,2268,454.41013
-2.7e-05,2268,457.100987
-6e-06,2268,460.11968
-1.5e-05,2268,462.902657
-2e-06,2268,466.033134
-1e-06,2268,468.86506
-1.3e-05,2268,471.579987
-2.5e-05,2268,474.657464
-0.0,2268,477.499591
-1.6e-05,2268,480.510992
-2.3e-05,2268,483.376045
-0.0,2268,486.502016
